Tag         MSELoss         R^2
2ftc4677    7.316841e-07    0.999999
3rku1xff    6.394799e-09    1.000000
1qwzys2t    3.405369e-03    0.996594
drx69tv5    7.888604e-09    1.000000
2ls5k3j8    8.628823e-08    0.999984
1dth9arp    8.181917e-09    1.000000
r3rhg832    8.453465e-09    1.000000
e876bpz2    8.624271e-04    0.842750
1y4ttq3c    2.953057e-07    0.999946
8kqkmpym    3.173745e-07    0.999942
5jxrz0s0    3.707404e-07    0.999932
12zlik2g    3.343918e-04    0.939029
3h4yyihk    1.598553e-04    0.970853
3ufsppnd    4.996701e-03    0.700338
2p6v0yov    1.616905e-06    0.999903
9c0pzqmp    6.846635e-06    0.999589
2zno63wm    1.649015e-06    0.999901
3ak80xab    5.701435e-04    0.965807
8krfy7of    1.534256e-02    0.079876
q89uy2b6    1.649642e-02    0.010677
3cm5lr5e    1.802028e-08    0.999999
